variavel: 18.Artes, cultura, esporte e recreação
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/18.Artes, cultura, esporte e recreação
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"São José do Sul";4318614;-29,529000000000;-51,487099999990;0
"São José dos Ausentes";4318622;-28,747599999990;-50,067700000000;3
"São Leopoldo";4318705;-29,754500000000;-51,149799999990;298
"São Lourenço do Sul";4318804;-31,356400000000;-51,971499999990;15
"São Luiz Gonzaga";4318903;-28,411999999990;-54,955900000000;13
"São Marcos";4319000;-28,967700000000;-51,069600000000;34
"São Martinho";4319109;-27,711200000000;-53,969900000000;0
"São Martinho da Serra";4319125;-29,539700000000;-53,859000000000;0
"São Miguel das Missões";4319158;-28,556000000000;-54,555900000000;0
"São Nicolau";4319208;-28,183399999990;-55,265400000000;0
"São Paulo das Missões";4319307;-28,019500000000;-54,940399999990;0
"São Pedro da Serra";4319356;-29,419300000000;-51,513399999990;0
"São Pedro das Missões";4319364;-27,773219999990;-53,250470000000;0
"São Pedro do Butiá";4319372;-28,124300000000;-54,892600000000;1
"São Pedro do Sul";4319406;-29,620200000000;-54,185499999990;16
"São Sebastião do Caí";4319505;-29,588500000000;-51,374899999990;2
"São Sepé";4319604;-30,164300000000;-53,560299999990;13
"São Valentim";4319703;-27,558299999990;-52,523699999990;0
"São Valentim do Sul";4319711;-29,045100000000;-51,768400000000;0
"São Valério do Sul";4319737;-27,790600000000;-53,936799999990;0
"São Vendelino";4319752;-29,372900000000;-51,367500000000;0
"São Vicente do Sul";4319802;-29,688199999990;-54,682600000000;2
Sapiranga;4319901;-29,634899999990;-51,006500000000;57
"Sapucaia do Sul";4320008;-29,827600000000;-51,145000000000;60
Sarandi;4320107;-27,942000000000;-52,923099999990;10
Seberi;4320206;-27,482900000000;-53,402600000000;7
"Sede Nova";4320230;-27,636700000000;-53,949300000000;0
Segredo;4320263;-29,352300000000;-52,976700000000;0
Selbach;4320305;-28,629400000000;-52,949800000000;4
"Senador Salgado Filho";4320321;-28,025000000000;-54,550699999990;0
"Sentinela do Sul";4320354;-30,610700000000;-51,586199999990;0
"Serafina Corrêa";4320404;-28,712599999990;-51,935299999990;14
Sério;4320453;-29,390400000000;-52,268500000000;0
Sertão;4320503;-27,979800000000;-52,258800000000;0
"Sertão Santana";4320552;-30,456199999990;-51,601700000000;0
"Sete de Setembro";4320578;-28,136199999990;-54,463700000000;0
"Severiano de Almeida";4320602;-27,436199999990;-52,121699999990;0
"Silveira Martins";4320651;-29,646699999990;-53,591000000000;0
Sinimbu;4320677;-29,535699999990;-52,530500000000;0
