Município,agropecuario,transformacao/industrial,comercio e atividades essenciais,atividades financeiras servicos profissionais e tecnicos,administracao publica,saude,educacao e cultura,sum,classe
Travesseiro,5.595667870036101,65.16245487364621,6.137184115523466,2.3465703971119134,20.577617328519857,0.18050541516245489,0.0,554,5
Três Arroios,2.2284122562674096,26.46239554317549,23.398328690807798,5.571030640668524,36.49025069637883,5.8495821727019495,0.0,359,1
Três Cachoeiras,0.31194295900178254,23.57397504456328,56.19429590017825,7.352941176470589,11.051693404634582,0.8912655971479502,0.6238859180035651,2244,4
Três Coroas,0.23590469450342064,69.34418494928049,13.375796178343949,5.1545175748997405,8.999764095305498,1.8990327907525357,0.9907997169143666,8478,5
Três de Maio,0.6440186765416197,25.454838190307523,41.86121397520528,9.128964739977459,9.772983416519079,4.717436805667365,8.420544195781678,6211,4
Três Forquilhas,1.4134275618374559,1.0600706713780919,22.968197879858657,0.7067137809187279,72.79151943462897,1.0600706713780919,0.0,283,6
Três Palmeiras,11.11111111111111,12.429378531073446,35.969868173258,6.214689265536723,33.52165725047081,0.7532956685499058,0.0,531,1
Três Passos,2.320107599193006,24.949562878278414,42.38399462004035,8.406186953597848,11.381977135171487,7.313382649630127,3.2447881640887695,5948,4
Trindade do Sul,1.7003188097768331,67.64080765143464,11.955366631243358,1.487778958554729,15.5154091392136,1.5409139213602552,0.1594048884165781,1882,5
Triunfo,2.3640441039058118,43.393758176041864,19.12726593160157,17.977948047094,15.25883012521024,1.5511119416931416,0.3270416744533732,10702,2
Tucunduva,2.044989775051125,15.950920245398773,40.899795501022496,14.008179959100204,21.472392638036812,4.4989775051124745,1.1247443762781186,978,1
Tunas,0.30120481927710846,3.313253012048193,29.819277108433734,3.91566265060241,62.34939759036144,0.30120481927710846,0.0,332,3
Tupanci do Sul,2.857142857142857,5.142857142857142,12.571428571428573,2.2857142857142856,77.14285714285715,0.0,0.0,175,6
Tupanciretã,28.887047776857223,4.252968793151063,36.34355150510908,5.136702568351284,20.491576912455123,2.7616680475006903,2.1264843965755316,3621,0
Tupandi,1.9655172413793103,74.86206896551724,13.896551724137932,2.310344827586207,6.896551724137931,0.034482758620689655,0.034482758620689655,2900,5
Tuparendi,5.850654349499615,17.62894534257121,46.26635873749038,6.543494996150885,17.551963048498845,5.157813702848345,1.0007698229407236,1299,4
Turuçu,18.200836820083683,6.2761506276150625,21.75732217573222,1.4644351464435146,52.09205020920502,0.20920502092050208,0.0,478,3
Ubiretama,1.0638297872340425,2.127659574468085,25.0,2.6595744680851063,69.14893617021278,0.0,0.0,188,6
União da Serra,7.614213197969544,26.39593908629442,12.690355329949238,4.060913705583756,48.223350253807105,0.0,1.015228426395939,197,3
Unistalda,26.31578947368421,1.1278195488721803,7.894736842105263,1.8796992481203008,62.78195488721805,0.0,0.0,266,0
Uruguaiana,13.94353750988326,7.641505046276917,45.94204920701363,8.762383144970002,15.817868936328544,4.827682433375192,3.064973722152458,21501,1
Vacaria,34.347069065583284,12.8554846198491,30.760301799187463,6.877539175856065,10.110272780034823,3.4764944863609983,1.5728380731282645,17230,0
Vale do Sol,0.9749303621169917,10.584958217270195,33.147632311977716,9.052924791086351,38.85793871866296,5.43175487465181,1.9498607242339834,718,1
